rank,restaurant,description,image,foodType,price,neighborhood,lunch,brunch,conversation,phone,website,location,anchor
1,Ardent,"Seasonal tasting menu in a small, relaxed, stylish spot",https://www.gannett-cdn.com/presto/2019/09/18/PMJS/00e5054f-e013-4d15-ae42-caa64705385b-MJS_ARDENT_new04393.JPG?crop=16:9&width=600,Modernist,$$$$$,East side,,,Yes,1-414-897-7022,https://www.ardentmke.com/,"https://www.google.com/maps/place/Ardent/@43.0539628,-87.8937551,17z/data=!3m1!4b1!4m5!3m4!1s0x880518e17925eb41:0x7ec4c991d0e226b2!8m2!3d43.0539589!4d-87.8915718",1-ardent
2,EsterEv,A communal setting for a seasonal tasting menu,https://www.gannett-cdn.com/presto/2019/09/18/PMJS/41bd6506-1b05-438d-8802-9eadabee6c17-MJS_Esterev_01_wood_esterev_1.JPG?crop=16:9&width=600,Contemporary American,$$$$$,Third Ward,,,Yes,1-414-488-8036,http://esterev.com/,"https://www.google.com/maps/place/EsterEv/@43.0300381,-87.9075172,17z/data=!3m1!4b1!4m5!3m4!1s0x880519a537c442a7:0x6c95e5bcce49f97e!8m2!3d43.0300342!4d-87.9053339",2-esterev
3,Sanford,Refined seasonal plates in an elegant dining room,https://www.gannett-cdn.com/presto/2019/09/18/PMJS/8a1e9319-2137-4fa9-9adc-9143024427f3-MJS_Sanford_03569.JPG?crop=16:9&width=600,Contemporary American,$$$$,Downtown,,,Yes,1-414-276-9608,https://sanfordrestaurant.com/,"https://www.google.com/maps/place/Sanford/@43.0504709,-87.9071729,17z/data=!3m1!4b1!4m5!3m4!1s0x880519106c244bc7:0xd3885540854af64b!8m2!3d43.050467!4d-87.9049789",3-sanford
4,The Diplomat ,Dishes with a homey soul and modern outlook for sharing,https://www.gannett-cdn.com/presto/2019/09/18/PMJS/e08fd3e2-2a9a-4c08-994c-f1f16d01993e-5030-diplomat2019.JPG?crop=16:9&width=600,Contemporary American,$$,Lower east side,Yes,,Yes,1-414-800-5816,https://www.thediplomatmke.com/,"https://www.google.com/maps/place/The+Diplomat/@43.0528849,-87.9038783,17z/data=!3m1!4b1!4m5!3m4!1s0x8805191a34abd8e7:0x5480960312f86994!8m2!3d43.052881!4d-87.9016843",4-the-diplomat
5,Fauntleroy,Updated French in a convivial bar and romantic dining room,https://www.gannett-cdn.com/presto/2019/09/18/PMJS/6c114ec1-6e9e-472d-854f-c869f016592b-fauntleroy_depcol_Desisti_2619.JPG?crop=16:9&width=600,Modern French,$$$,Third Ward,Yes,,Yes,1-414-269-9908,https://fauntleroymke.com/,"https://www.google.com/maps/place/Fauntleroy+MKE/@43.0344677,-87.9078607,17z/data=!3m1!4b1!4m5!3m4!1s0x8805198e4ed794b7:0x2b2cabdce36413a!8m2!3d43.0344638!4d-87.9056667",5-fauntleroy
6,Third Coast Provisions,Modern take on seafood in a fashionable dining room,https://www.gannett-cdn.com/presto/2019/09/17/PMJS/956a83ba-b18f-4151-9bae-a792105c9843-5030-3rdcoast2019.jpg?crop=16:9&width=600,Seafood,$$$$,Downtown,,,,1-414-323-7434,http://www.thirdcoastprovisions.com/,"https://www.google.com/maps/place/Third+Coast+Provisions/@43.0394453,-87.9084969,17z/data=!3m1!4b1!4m5!3m4!1s0x880519082bb0bccb:0x10f69d94875e8465!8m2!3d43.0394414!4d-87.9063029",6-third-coast
7,Story Hill BKC,"Plates to share, Inspired by the Upper Midwest and its immigrants",https://www.gannett-cdn.com/presto/2019/09/17/PMJS/88e3a15f-5669-4824-8020-f7a7b38ef685-5030-storybkc2019.jpg?crop=16:9&width=600,Contemporary American,$$$,Story Hill,Yes,Yes,,1-414-539-4424,https://storyhillbkc.com/,"https://www.google.com/maps/place/Story+Hill+BKC/@43.0368413,-87.980007,17z/data=!3m1!4b1!4m5!3m4!1s0x88051afc21a2f9fd:0xcbf166ea553230b8!8m2!3d43.0368374!4d-87.977813",7-story-hill
8,Ristorante Bartolotta,Traditional pastas and other Italian dishes in a cozy setting,https://www.gannett-cdn.com/presto/2019/09/17/PMJS/79f6f8b1-e5e5-437c-8ace-f0334484df37-5030-ristorante2019-1013.jpg?crop=16:9&width=600,Italian,$$$$,Wauwatosa Village,,,,1-414-771-7910,https://www.bartolottas.com/ristorante-bartolotta,"https://www.google.com/maps/place/Ristorante+Bartolotta+dal+1993/@43.0494891,-88.0098488,17z/data=!4m5!3m4!1s0x88051b2dc3398c69:0xa0ad575112e6a4f0!8m2!3d43.0494852!4d-88.0076548",8-ristorante-bartolotta
9,Odd Duck,"Seasonal, global plates to share in a lively setting",https://www.gannett-cdn.com/presto/2019/09/17/PMJS/8e23fe57-65c7-4688-b148-b270b316ec98-5030-oddduck2019-1013.jpg?crop=16:9&width=600,Contemporary American,$$,Bay View,,,,1-414-763-5881,http://www.oddduckrestaurant.com/,"https://www.google.com/maps/place/Odd+Duck/@43.0020011,-87.9054051,17z/data=!3m1!4b1!4m5!3m4!1s0x880519d790528345:0xd3f127d853db3e6c!8m2!3d43.0019972!4d-87.9032111",9-odd-duck
10,Buckley's,Neighborhood spot with polished look for modern and homey dishes,https://www.gannett-cdn.com/presto/2019/09/18/PMJS/32d70d02-89c2-4ec2-88ad-05bd13a6e876-MJS_depcol08__Buckleys__34515.JPG?crop=16:9&width=600,Contemporary American,$$$,Downtown,Yes,Yes,,1-414-277-1111,http://www.buckleysmilwaukee.com/,"https://www.google.com/maps/place/Buckley's+Restaurant+%26+Bar/@43.0416739,-87.904244,17z/data=!3m1!4b1!4m5!3m4!1s0x8805190653451103:0x2990550a21507014!8m2!3d43.04167!4d-87.90205",10-buckleys
